PNR Number,Train Number,Date of Journey,Class of Travel,Quota,Source Station,Destination Station,Booking Date,Current Status,Number of Passengers,Age of Passengers,Booking Channel,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status,Was Waitlisted
PNR0000000024,72273,2024-09-25,3AC,General,MMCT,HWH,2024-01-25,Confirmed,2,Child,Mobile App,1751,14,25,Express,499,Senior Citizen,Yes,0,Confirmed,False
PNR0000000025,89460,2024-09-26,1AC,General,UMB,MMCT,2024-01-26,Confirmed,2,Senior Citizen,IRCTC Website,572,12,13,Express,406,Defense Quota,Yes,0,Confirmed,False
PNR0000000026,10039,2024-09-27,Sleeper,Premium Tatkal,GKP,BSB,2024-01-27,Waitlisted,2,Senior Citizen,Counter,262,13,22,Superfast,65,Senior Citizen,Yes,28,Not Confirmed,True
PNR0000000027,30995,2024-09-28,2AC,Ladies,BCT,ASR,2024-01-28,RAC,3,Senior Citizen,IRCTC Website,1572,4,39,Shatabdi,200,No Special Consideration,Yes,0,Confirmed,False
PNR0000000028,79686,2024-09-29,2AC,General,GKP,ADI,2024-01-29,Waitlisted,2,Senior Citizen,Mobile App,830,7,9,Superfast,40,Senior Citizen,Yes,55,Not Confirmed,True
PNR0000000029,21574,2024-09-30,1AC,Ladies,ASR,BCT,2024-01-30,Confirmed,4,Senior Citizen,IRCTC Website,1645,8,41,Superfast,35,Defense Quota,No,0,Confirmed,False
PNR0000000030,89384,2024-10-01,1AC,General,JHS,UMB,2024-01-31,RAC,1,Senior Citizen,Counter,826,6,12,Express,482,Senior Citizen,No,0,Confirmed,False
PNR0000000031,23575,2024-10-02,1AC,Ladies,SC,PNBE,2024-02-01,Waitlisted,3,Adult,Counter,1927,7,12,Rajdhani,215,No Special Consideration,Yes,129,Not Confirmed,True
PNR0000000032,25082,2024-10-03,2AC,Tatkal,CSMT,NJP,2024-02-02,Waitlisted,3,Senior Citizen,Mobile App,1359,6,33,Superfast,455,No Special Consideration,Yes,116,Not Confirmed,True
PNR0000000033,60126,2024-10-04,2AC,General,CNB,MMCT,2024-02-03,Waitlisted,3,Adult,Counter,1060,10,36,Rajdhani,449,Defense Quota,No,183,Not Confirmed,True
PNR0000000034,20126,2024-10-05,1AC,Tatkal,NJP,ADI,2024-02-04,Waitlisted,3,Child,IRCTC Website,1163,4,2,Rajdhani,226,No Special Consideration,Yes,116,Not Confirmed,True
PNR0000000035,74502,2024-10-06,1AC,Tatkal,LKO,SBC,2024-02-05,Confirmed,2,Senior Citizen,Counter,437,8,7,Rajdhani,175,Defense Quota,No,0,Confirmed,False
PNR0000000036,78016,2024-10-07,2AC,Premium Tatkal,PNBE,BBS,2024-02-06,RAC,2,Child,Mobile App,321,17,21,Rajdhani,142,Senior Citizen,No,0,Confirmed,False
PNR0000000037,67348,2024-10-08,3AC,Tatkal,SC,LTT,2024-02-07,RAC,5,Adult,Mobile App,1648,13,33,Rajdhani,267,Defense Quota,No,0,Confirmed,False
PNR0000000038,51917,2024-10-09,2AC,Premium Tatkal,NDLS,UMB,2024-02-08,Waitlisted,5,Child,Counter,344,11,46,Superfast,187,Senior Citizen,Yes,136,Not Confirmed,True
PNR0000000039,31119,2024-10-10,3AC,General,LKO,LTT,2024-02-09,Confirmed,1,Adult,Mobile App,1746,10,38,Superfast,211,No Special Consideration,No,0,Confirmed,False
PNR0000000040,42450,2024-10-11,Sleeper,Ladies,BSB,ADI,2024-02-10,Waitlisted,1,Senior Citizen,Counter,401,5,10,Shatabdi,41,No Special Consideration,No,32,Not Confirmed,True
PNR0000000041,91661,2024-10-12,Sleeper,Premium Tatkal,ASR,CSMT,2024-02-11,Confirmed,5,Adult,Counter,1587,14,12,Shatabdi,310,Senior Citizen,Yes,0,Confirmed,False
PNR0000000042,90188,2024-10-13,1AC,Tatkal,BCT,BSB,2024-02-12,Confirmed,4,Senior Citizen,Counter,361,11,41,Rajdhani,21,No Special Consideration,No,0,Confirmed,False
PNR0000000043,10238,2024-10-14,2AC,General,UMB,JP,2024-02-13,RAC,1,Adult,Mobile App,1793,7,3,Shatabdi,436,No Special Consideration,No,0,Confirmed,False
PNR0000000044,41141,2024-10-15,1AC,Premium Tatkal,LKO,UMB,2024-02-14,Confirmed,2,Senior Citizen,IRCTC Website,1294,8,30,Superfast,262,Defense Quota,Yes,0,Confirmed,False
PNR0000000045,35634,2024-10-16,3AC,General,KOAA,BCT,2024-02-15,RAC,2,Adult,IRCTC Website,84,16,5,Superfast,158,Senior Citizen,Yes,0,Confirmed,False
PNR0000000046,28573,2024-10-17,1AC,Ladies,HWH,ASR,2024-02-16,RAC,1,Senior Citizen,IRCTC Website,1104,8,46,Shatabdi,152,Senior Citizen,No,0,Confirmed,False
PNR0000000047,81660,2024-10-18,2AC,General,PNBE,ADI,2024-02-17,RAC,4,Child,Mobile App,676,13,30,Express,128,No Special Consideration,Yes,0,Confirmed,False
PNR0000000048,97289,2024-10-19,3AC,Tatkal,PNBE,LTT,2024-02-18,Confirmed,2,Adult,Mobile App,1826,13,29,Shatabdi,368,No Special Consideration,Yes,0,Confirmed,False
PNR0000000049,22925,2024-10-20,3AC,Premium Tatkal,KOAA,JU,2024-02-19,Confirmed,5,Adult,IRCTC Website,1913,19,14,Express,135,Senior Citizen,Yes,0,Confirmed,False
PNR0000000050,12718,2024-10-21,1AC,Premium Tatkal,SBC,LTT,2024-02-20,Confirmed,5,Child,Counter,275,18,3,Shatabdi,137,Defense Quota,Yes,0,Confirmed,False
PNR0000000051,23909,2024-10-22,2AC,General,JU,BSB,2024-02-21,Confirmed,4,Adult,Mobile App,815,9,30,Shatabdi,97,Defense Quota,No,0,Confirmed,False
PNR0000000052,95691,2024-10-23,Sleeper,Ladies,PNBE,LTT,2024-02-22,RAC,4,Senior Citizen,Mobile App,298,10,29,Rajdhani,480,No Special Consideration,Yes,0,Confirmed,False
PNR0000000053,75191,2024-10-24,2AC,Ladies,CSMT,JHS,2024-02-23,Waitlisted,3,Senior Citizen,Mobile App,560,16,43,Express,134,Defense Quota,Yes,166,Not Confirmed,True
PNR0000000054,17727,2024-10-25,3AC,Tatkal,BSB,SC,2024-02-24,RAC,1,Child,Counter,1677,10,38,Superfast,309,No Special Consideration,No,0,Confirmed,False
PNR0000000055,85263,2024-10-26,2AC,Ladies,JHS,ADI,2024-02-25,Waitlisted,2,Adult,Counter,1824,15,37,Rajdhani,56,Defense Quota,No,107,Not Confirmed,True
PNR0000000056,58474,2024-10-27,2AC,Ladies,LKO,GKP,2024-02-26,Confirmed,4,Adult,Counter,125,14,46,Shatabdi,263,No Special Consideration,Yes,0,Confirmed,False
PNR0000000057,75877,2024-10-28,2AC,Tatkal,BCT,MAS,2024-02-27,RAC,2,Senior Citizen,IRCTC Website,1521,16,31,Shatabdi,411,No Special Consideration,Yes,0,Confirmed,False
PNR0000000058,92194,2024-10-29,2AC,Premium Tatkal,BSB,MAS,2024-02-28,RAC,3,Child,Mobile App,1549,9,21,Express,286,No Special Consideration,Yes,0,Confirmed,False
PNR0000000059,85731,2024-10-30,3AC,Ladies,LTT,BSB,2024-02-29,Waitlisted,1,Child,IRCTC Website,1117,3,17,Shatabdi,411,No Special Consideration,No,185,Not Confirmed,True
PNR0000000060,35175,2024-10-31,Sleeper,Ladies,JP,CNB,2024-03-01,Waitlisted,1,Adult,Mobile App,716,2,41,Rajdhani,228,Senior Citizen,Yes,13,Not Confirmed,True
PNR0000000061,33598,2024-11-01,3AC,General,SBC,JU,2024-03-02,RAC,2,Child,Mobile App,1200,7,19,Rajdhani,164,Senior Citizen,No,0,Confirmed,False
PNR0000000062,38813,2024-11-02,1AC,General,JHS,GKP,2024-03-03,Confirmed,2,Senior Citizen,Counter,231,16,6,Superfast,170,No Special Consideration,Yes,0,Confirmed,False
PNR0000000063,64833,2024-11-03,3AC,Tatkal,GKP,GKP,2024-03-04,RAC,1,Adult,Mobile App,248,17,45,Superfast,9,Senior Citizen,No,0,Confirmed,False
PNR0000000064,13596,2024-11-04,2AC,Premium Tatkal,LKO,BSB,2024-03-05,Confirmed,4,Child,Mobile App,1491,9,13,Express,347,Defense Quota,No,0,Confirmed,False
PNR0000000065,81398,2024-11-05,3AC,Tatkal,MMCT,SC,2024-03-06,Waitlisted,1,Child,Mobile App,130,18,43,Superfast,264,No Special Consideration,Yes,111,Not Confirmed,True
PNR0000000066,23345,2024-11-06,3AC,Premium Tatkal,CNB,MAS,2024-03-07,Waitlisted,2,Adult,Counter,239,4,26,Shatabdi,447,Defense Quota,No,45,Not Confirmed,True
PNR0000000067,59733,2024-11-07,2AC,Tatkal,HWH,BCT,2024-03-08,RAC,4,Adult,Counter,1903,16,37,Express,267,No Special Consideration,Yes,0,Confirmed,False
PNR0000000068,94944,2024-11-08,Sleeper,Ladies,CNB,MMCT,2024-03-09,Waitlisted,5,Child,IRCTC Website,511,17,45,Superfast,476,Senior Citizen,No,50,Not Confirmed,True
PNR0000000069,20278,2024-11-09,Sleeper,Tatkal,GKP,NJP,2024-03-10,Confirmed,4,Adult,IRCTC Website,95,6,21,Shatabdi,269,Senior Citizen,Yes,0,Confirmed,False
PNR0000000070,41776,2024-11-10,2AC,Premium Tatkal,BCT,PNBE,2024-03-11,RAC,4,Senior Citizen,Counter,56,17,46,Rajdhani,146,No Special Consideration,No,0,Confirmed,False
PNR0000000071,61238,2024-11-11,2AC,General,BBS,ADI,2024-03-12,Waitlisted,2,Senior Citizen,Mobile App,561,15,37,Express,317,No Special Consideration,No,194,Not Confirmed,True
PNR0000000072,13464,2024-11-12,Sleeper,Premium Tatkal,PNBE,NDLS,2024-03-13,Confirmed,4,Adult,Counter,1924,2,20,Rajdhani,121,No Special Consideration,No,0,Confirmed,False
PNR0000000073,35867,2024-11-13,3AC,General,UMB,HWH,2024-03-14,Waitlisted,4,Senior Citizen,Mobile App,1271,4,18,Shatabdi,189,Defense Quota,No,155,Not Confirmed,True
PNR0000000074,66287,2024-11-14,1AC,Premium Tatkal,UMB,SBC,2024-03-15,Confirmed,1,Adult,Counter,1815,2,31,Rajdhani,446,No Special Consideration,No,0,Confirmed,False
PNR0000000075,16338,2024-11-15,2AC,General,KOAA,NJP,2024-03-16,RAC,1,Child,IRCTC Website,674,18,6,Shatabdi,293,Senior Citizen,No,0,Confirmed,False
PNR0000000076,95001,2024-11-16,1AC,Premium Tatkal,SBC,CNB,2024-03-17,RAC,2,Adult,Mobile App,1133,14,39,Superfast,368,Senior Citizen,Yes,0,Confirmed,False
PNR0000000077,31646,2024-11-17,3AC,Tatkal,BCT,NDLS,2024-03-18,Confirmed,5,Senior Citizen,IRCTC Website,200,14,7,Express,273,Defense Quota,No,0,Confirmed,False
PNR0000000078,89410,2024-11-18,1AC,General,PNBE,BBS,2024-03-19,RAC,3,Adult,Counter,485,11,7,Shatabdi,463,No Special Consideration,No,0,Confirmed,False
PNR0000000079,72028,2024-11-19,3AC,Ladies,NJP,PNBE,2024-03-20,Waitlisted,2,Adult,Counter,1486,12,27,Superfast,400,No Special Consideration,Yes,155,Not Confirmed,True
PNR0000000080,80190,2024-11-20,1AC,Premium Tatkal,CNB,ADI,2024-03-21,Confirmed,2,Adult,Counter,1729,7,21,Superfast,268,Senior Citizen,Yes,0,Confirmed,False
PNR0000000081,30516,2024-11-21,2AC,Premium Tatkal,PNBE,NJP,2024-03-22,Confirmed,1,Child,IRCTC Website,1977,7,18,Shatabdi,88,Senior Citizen,Yes,0,Confirmed,False
PNR0000000082,84469,2024-11-22,1AC,General,SBC,BCT,2024-03-23,Waitlisted,4,Child,Mobile App,1184,17,31,Rajdhani,385,Defense Quota,Yes,198,Not Confirmed,True
PNR0000000083,70515,2024-11-23,Sleeper,Ladies,BCT,BCT,2024-03-24,Waitlisted,1,Child,Counter,1903,3,24,Express,371,No Special Consideration,Yes,117,Not Confirmed,True
PNR0000000084,91428,2024-11-24,Sleeper,Ladies,KOAA,LTT,2024-03-25,RAC,3,Child,IRCTC Website,540,12,18,Express,230,Defense Quota,Yes,0,Confirmed,False
PNR0000000085,79530,2024-11-25,Sleeper,Ladies,KOAA,CSMT,2024-03-26,RAC,1,Adult,Mobile App,1524,12,28,Shatabdi,99,Defense Quota,Yes,0,Confirmed,False
PNR0000000086,81259,2024-11-26,Sleeper,General,JP,BBS,2024-03-27,RAC,2,Adult,Mobile App,432,18,44,Shatabdi,417,Defense Quota,No,0,Confirmed,False
PNR0000000087,53770,2024-11-27,3AC,Premium Tatkal,BCT,ADI,2024-03-28,RAC,3,Child,Mobile App,817,13,3,Shatabdi,63,Senior Citizen,No,0,Confirmed,False
PNR0000000088,82924,2024-11-28,1AC,Ladies,ASR,NJP,2024-03-29,Waitlisted,3,Adult,IRCTC Website,950,8,19,Express,37,Senior Citizen,No,109,Not Confirmed,True
PNR0000000089,18960,2024-11-29,1AC,Tatkal,BBS,MAS,2024-03-30,Waitlisted,5,Adult,IRCTC Website,1747,12,32,Shatabdi,447,Senior Citizen,Yes,66,Not Confirmed,True
PNR0000000090,53791,2024-11-30,3AC,Ladies,SC,GKP,2024-03-31,RAC,2,Child,Mobile App,1783,12,18,Rajdhani,293,Senior Citizen,Yes,0,Confirmed,False
PNR0000000091,92414,2024-12-01,2AC,Ladies,CSMT,JU,2024-04-01,Confirmed,2,Senior Citizen,Counter,274,17,27,Express,19,No Special Consideration,No,0,Confirmed,False
PNR0000000092,46828,2024-12-02,Sleeper,Tatkal,CSMT,SBC,2024-04-02,Confirmed,4,Senior Citizen,IRCTC Website,1000,13,32,Superfast,455,Defense Quota,No,0,Confirmed,False
PNR0000000093,87140,2024-12-03,2AC,Tatkal,MMCT,HWH,2024-04-03,RAC,5,Senior Citizen,Counter,1164,10,4,Rajdhani,404,Defense Quota,Yes,0,Confirmed,False
PNR0000000094,99072,2024-12-04,3AC,General,SBC,SC,2024-04-04,Waitlisted,3,Adult,Counter,1843,16,36,Superfast,490,Defense Quota,No,198,Not Confirmed,True
PNR0000000095,16023,2024-12-05,Sleeper,Tatkal,LTT,MMCT,2024-04-05,Waitlisted,2,Child,Counter,729,13,29,Rajdhani,248,Defense Quota,Yes,72,Not Confirmed,True
PNR0000000096,84261,2024-12-06,Sleeper,Premium Tatkal,BCT,ADI,2024-04-06,Confirmed,1,Senior Citizen,IRCTC Website,1905,9,7,Superfast,362,No Special Consideration,Yes,0,Confirmed,False
PNR0000000097,67960,2024-12-07,2AC,General,JP,PNBE,2024-04-07,RAC,3,Child,IRCTC Website,1031,15,13,Rajdhani,6,Defense Quota,No,0,Confirmed,False
PNR0000000098,25741,2024-12-08,1AC,Premium Tatkal,UMB,SC,2024-04-08,Waitlisted,2,Adult,Counter,179,4,43,Express,349,No Special Consideration,No,107,Not Confirmed,True
PNR0000000099,35847,2024-12-09,1AC,Tatkal,SC,BCT,2024-04-09,Waitlisted,5,Adult,IRCTC Website,1862,16,3,Express,289,Defense Quota,No,54,Not Confirmed,True
PNR0000000100,98776,2024-12-10,3AC,Premium Tatkal,LTT,PNBE,2024-04-10,RAC,1,Senior Citizen,Mobile App,251,9,37,Superfast,275,No Special Consideration,No,0,Confirmed,False
PNR0000000101,90402,2024-12-11,Sleeper,Ladies,JU,SC,2024-04-11,Waitlisted,4,Senior Citizen,Mobile App,396,16,4,Express,132,Senior Citizen,Yes,52,Not Confirmed,True
PNR0000000102,41184,2024-12-12,1AC,Premium Tatkal,HWH,NDLS,2024-04-12,Waitlisted,2,Child,Mobile App,885,9,30,Rajdhani,203,Defense Quota,No,198,Not Confirmed,True
PNR0000000103,52438,2024-12-13,3AC,General,ADI,CSMT,2024-04-13,Waitlisted,5,Child,Counter,1656,2,41,Rajdhani,423,Defense Quota,No,166,Not Confirmed,True
PNR0000000104,12033,2024-12-14,3AC,Tatkal,SBC,BBS,2024-04-14,Waitlisted,5,Adult,IRCTC Website,239,2,34,Shatabdi,365,Senior Citizen,No,3,Not Confirmed,True
PNR0000000105,13258,2024-12-15,1AC,Ladies,BCT,BCT,2024-04-15,RAC,1,Child,IRCTC Website,1756,15,4,Superfast,116,Senior Citizen,No,0,Confirmed,False
PNR0000000106,15424,2024-12-16,2AC,Premium Tatkal,BCT,JP,2024-04-16,Confirmed,4,Senior Citizen,IRCTC Website,1189,17,32,Rajdhani,77,Defense Quota,Yes,0,Confirmed,False
PNR0000000107,55015,2024-12-17,1AC,Ladies,LKO,BSB,2024-04-17,Waitlisted,4,Senior Citizen,IRCTC Website,1249,16,47,Superfast,286,Defense Quota,Yes,106,Not Confirmed,True
PNR0000000108,55703,2024-12-18,3AC,Premium Tatkal,PNBE,GKP,2024-04-18,Waitlisted,2,Adult,IRCTC Website,651,8,20,Superfast,321,No Special Consideration,No,108,Not Confirmed,True
PNR0000000109,77553,2024-12-19,1AC,Premium Tatkal,MAS,CNB,2024-04-19,Confirmed,1,Adult,Counter,299,9,16,Shatabdi,206,Senior Citizen,No,0,Confirmed,False
PNR0000000110,23582,2024-12-20,3AC,General,UMB,ASR,2024-04-20,Waitlisted,1,Adult,IRCTC Website,1475,11,37,Rajdhani,204,Senior Citizen,Yes,73,Not Confirmed,True
PNR0000000111,57013,2024-12-21,Sleeper,Premium Tatkal,GKP,BSB,2024-04-21,RAC,4,Child,IRCTC Website,346,9,41,Rajdhani,363,Senior Citizen,No,0,Confirmed,False
PNR0000000112,43386,2024-12-22,Sleeper,Tatkal,SBC,BCT,2024-04-22,RAC,1,Adult,Counter,566,3,30,Superfast,14,Defense Quota,No,0,Confirmed,False
PNR0000000113,91216,2024-12-23,2AC,General,CNB,ADI,2024-04-23,RAC,3,Adult,IRCTC Website,591,5,30,Express,189,Defense Quota,No,0,Confirmed,False
PNR0000000114,41162,2024-12-24,1AC,Premium Tatkal,NDLS,LKO,2024-04-24,Waitlisted,2,Child,Counter,1609,19,43,Superfast,232,Senior Citizen,Yes,170,Not Confirmed,True
PNR0000000115,46907,2024-12-25,3AC,Premium Tatkal,LKO,CNB,2024-04-25,Waitlisted,5,Child,Counter,599,9,30,Superfast,383,Senior Citizen,No,123,Not Confirmed,True
PNR0000000116,24727,2024-12-26,3AC,Tatkal,MMCT,BSB,2024-04-26,Confirmed,5,Adult,IRCTC Website,187,11,3,Rajdhani,310,No Special Consideration,Yes,0,Confirmed,False
PNR0000000117,47160,2024-12-27,1AC,Premium Tatkal,BBS,PNBE,2024-04-27,Waitlisted,2,Adult,IRCTC Website,1157,11,21,Shatabdi,75,Defense Quota,Yes,72,Not Confirmed,True
PNR0000000118,73704,2024-12-28,3AC,Ladies,UMB,JHS,2024-04-28,Confirmed,4,Adult,Mobile App,320,19,24,Express,278,No Special Consideration,No,0,Confirmed,False
PNR0000000119,66787,2024-12-29,1AC,General,UMB,NJP,2024-04-29,RAC,1,Senior Citizen,Mobile App,1444,4,44,Rajdhani,354,Defense Quota,Yes,0,Confirmed,False
PNR0000000120,39092,2024-12-30,3AC,Premium Tatkal,CSMT,MAS,2024-04-30,Waitlisted,5,Senior Citizen,IRCTC Website,326,14,20,Superfast,278,Senior Citizen,No,99,Not Confirmed,True
PNR0000000121,40166,2024-12-31,2AC,General,LTT,UMB,2024-05-01,Waitlisted,5,Child,IRCTC Website,1068,15,4,Express,68,Defense Quota,Yes,163,Not Confirmed,True
PNR0000000122,83160,2025-01-01,Sleeper,Ladies,PNBE,JU,2024-05-02,RAC,5,Senior Citizen,Mobile App,1415,15,23,Superfast,251,Defense Quota,No,0,Confirmed,False
PNR0000000123,47260,2025-01-02,1AC,Tatkal,LKO,SC,2024-05-03,Confirmed,3,Adult,Mobile App,1947,2,38,Express,118,Defense Quota,No,0,Confirmed,False
PNR0000000124,14262,2025-01-03,3AC,Ladies,LKO,BSB,2024-05-04,Waitlisted,5,Senior Citizen,Mobile App,172,17,21,Express,466,Defense Quota,No,12,Not Confirmed,True
PNR0000000125,83692,2025-01-04,Sleeper,Ladies,JP,JU,2024-05-05,RAC,5,Child,Counter,741,12,11,Express,15,Senior Citizen,No,0,Confirmed,False
PNR0000000126,98963,2025-01-05,2AC,Premium Tatkal,SBC,LTT,2024-05-06,Waitlisted,4,Senior Citizen,Counter,63,17,19,Express,108,Defense Quota,Yes,185,Not Confirmed,True
PNR0000000127,30410,2025-01-06,Sleeper,General,CSMT,KOAA,2024-05-07,Confirmed,5,Adult,Counter,216,11,39,Superfast,437,Senior Citizen,No,0,Confirmed,False
PNR0000000128,19798,2025-01-07,2AC,Tatkal,KOAA,UMB,2024-05-08,Waitlisted,1,Adult,Counter,284,3,17,Rajdhani,324,Defense Quota,No,174,Not Confirmed,True
PNR0000000129,57437,2025-01-08,3AC,Ladies,MMCT,MMCT,2024-05-09,RAC,4,Adult,Counter,554,16,43,Shatabdi,429,No Special Consideration,Yes,0,Confirmed,False
PNR0000000130,84960,2025-01-09,3AC,Ladies,CNB,SBC,2024-05-10,Waitlisted,5,Child,IRCTC Website,1683,17,4,Superfast,404,Defense Quota,Yes,41,Not Confirmed,True
PNR0000000131,91917,2025-01-10,1AC,Tatkal,NDLS,ADI,2024-05-11,Waitlisted,1,Adult,Counter,989,5,23,Shatabdi,413,No Special Consideration,No,42,Not Confirmed,True
PNR0000000132,96861,2025-01-11,2AC,Tatkal,SBC,NJP,2024-05-12,Confirmed,2,Senior Citizen,Mobile App,53,12,47,Superfast,276,Defense Quota,Yes,0,Confirmed,False
PNR0000000133,35213,2025-01-12,2AC,Tatkal,HWH,SC,2024-05-13,RAC,4,Child,Counter,896,4,6,Superfast,331,Defense Quota,Yes,0,Confirmed,False
PNR0000000134,62314,2025-01-13,1AC,Premium Tatkal,MAS,UMB,2024-05-14,Waitlisted,5,Adult,Mobile App,1636,16,4,Rajdhani,283,No Special Consideration,Yes,89,Not Confirmed,True
PNR0000000135,36623,2025-01-14,3AC,Premium Tatkal,JP,JP,2024-05-15,RAC,5,Child,Counter,1757,3,6,Express,45,Defense Quota,Yes,0,Confirmed,False
PNR0000000136,59763,2025-01-15,1AC,General,ADI,SBC,2024-05-16,Waitlisted,5,Child,Counter,1475,19,35,Superfast,475,No Special Consideration,No,125,Not Confirmed,True
PNR0000000137,65648,2025-01-16,2AC,Tatkal,LTT,JU,2024-05-17,Waitlisted,4,Senior Citizen,Mobile App,945,5,34,Rajdhani,224,No Special Consideration,No,140,Not Confirmed,True
PNR0000000138,19188,2025-01-17,1AC,Premium Tatkal,PNBE,BCT,2024-05-18,RAC,3,Senior Citizen,IRCTC Website,272,13,42,Shatabdi,20,Senior Citizen,Yes,0,Confirmed,False
PNR0000000139,27535,2025-01-18,3AC,Premium Tatkal,BSB,NDLS,2024-05-19,RAC,1,Adult,IRCTC Website,1035,5,44,Shatabdi,415,No Special Consideration,No,0,Confirmed,False
